Location,Tweet,Positivity
m,"RT @taeil_says: Taeil, to Winwin: Hey, hey, hey, I told you not to pull me! You're even more scary!! https://t.co/lwoiXQ1CZH",-0.140625
she/her   rt heavy    ,im playing on my dps smurf and i feel bad djsjskks,-0.6999999999999998
None,"RT @poutyjongdae: 2.  CAN T DANCE  
can t you see that he has such a passion in it?? his moves are so sharp he feels that emotion https://t ",-0.0625
None,"@TalesofanAlfa It was, I did nearly half the miles it has done.",-0.16666666666666666
cac   mcl,RT @IoadingError: im done. im sorry. i failed all of you,-0.5
"Hawke's Bay, New Zealand","RT @CNNPolitics: Jay-Z criticizes President Trump's vulgar comment about African nations: ""It's really hurtful because he's looking down on ",-0.1638888888888889
Fillory,The fourth Digimon Adventure tri. movie digivolves into a limited U.S. theatrical release #adventure  https://t.co/Ice1iPumRr,-0.023809523809523808
The Death Star,RT @capnmcfword: If stress is a carcinogen everyone I know is fucked.,-0.6
Glasgow,Oh my god I don't even remember how i got home last night. My head is spinning like crazy. Alcohol regrets,-0.2333333333333333
    ,"RT @WestmonsterUK: WEAK: Spineless Theresa May 'is being pushed towards a soft Brexit by Remoaner mandarins behind the scenes'.

Show some ",-0.225
Behind you...,"RT @andrewdavidcleg: These little girls will never feel the sun or the wind in their hair, this is child abuse, shameful! https://t.co/1QhS ",-0.234375
NY,RT @Alyssa_Milano: Let s be clear: Donald Trump s attacks on immigrants are rooted in white supremacy. His racist wall is a symbol of hate. ,-0.23333333333333336
Ayen,"RT @kowtsnatinito: I'm not perfect, but I'm real. ",-0.15
None,RT @pankhuripathak: https://t.co/qxtoPNLluc The real story of what transpired in #Kasganj &amp; how a totally fake nationalist propaganda was c ,-0.13333333333333333
"Vishakhapatnam, India","RT @PMOIndia: A few days ago, the Honourable President of India met women achievers, who distinguished themselves in various fields: PM @na ",-0.1
None,RT @warriors: #StephGonnaSteph with a season-high 49 points in tonight's game     https://t.co/vB5M2PX9sk,-0.4
None,"RT @DurhamPolice: STILL MISSING
At the time of Kevin s disappearance it is believed that he was wearing jeans, a navy blue coat with brass ",-0.1
st-200,@itzmehaby Dunno?? I ate it for lunch and a few minutes later my hands started itching and swelling,-0.1
middle yeast,"RT @rumidizzee: i didn't realize that ""idiot sandwhich"" was from a sketch for a late night tv show i honestly thought that was just a thing ",-0.1666666666666667
None,"RT @Got7lilybigbang: I am so sleepy, but hate sleeping during daytime. #TeamGot7 #TwitterBestFandom",-0.8
None,"@steveajohnson @LupieSmash @AshaRangappa_ @FBI did u bother to read the story?

I mean lying about legal activity..  https://t.co/L6Yh8hMOHq",-0.056249999999999994
None,"RT @EUAreKidding: The Coming Car Crash:
Tories screw brexit negs
EU gives bad deal
Parliament reject 
We remain
Democratic chaos ensues
Tor ",-0.6999999999999998
Republic of the Philippines,"RT @thebtsmutuals: [ @BTS_twt ] 

rt if u love seokjin , follow whoever rts 

#TwitterBestFandom #TeamBTS",-0.125
IG - popollypol,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
*turn my notifications on*,"RT @comedyandtruth: me: mom can I go out 

mom: no it's too late 

me: https://t.co/pHeRcveDiK",-0.3
Republic of the Philippines,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
"Johor Bahru, Johor","I know this journey will be hard and rough, but I stayed. I'm here, waiting.",-0.19583333333333336
None,"RT @BTSFollowing: Since we were unable to trend #ThankYouYoongi today, I would like to propose we try again. No, we won't take away from th ",-0.5
Dublin,"RT @FemaleTexts: IT S HELLA WEIRD HOW EVERYONE SLEEPS DIFFERENTLY, like i sleep on my side, my ex sleeps with everyone, and y all sleep on ",-0.25
Guam,"RT @faithysoup: as a girl, you just keep finding shit out even when you don t want to or don t try  ",-0.2
turn on notifs,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
Republic of the Philippines,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
None,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
"Bengaluru, India","RT @smarket: BJP Should make a big hoarding in every town and city:
Agar aap small business kartey hain...toh aap bhikhari hain.
If selling ",-0.125
ph,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
Pearl of the Orient Sea   ,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
"Las Vegas, NV",RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
megaval's  ,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
[ EX-GIRLFRIEND feels' ],RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
Turn on notifications.  ,RT @clingyyyygf: Drakes songs had me missing people i don't even know yet.,-0.2
None,Why do I keep going out and getting drunk when I have assignments due  ,-0.3125
Lost in Space,"@DanielleWarby I've blogged and written about nothing else in recent weeks
It's so fundamentally depressing that Se  https://t.co/bjGkWjt7ES",-0.3
"Michigan, USA   ","@kmahoney534 @goodoldcatchy @creeknation01 Typical   believe only what you want, as long as it fits your agenda lma  https://t.co/1zVph67pX2",-0.07222222222222223
None,"I keep having dreams about telling my crush that I like them and it's totally not cool, because I doubt I'll ever t  https://t.co/mNdaFQKKYU",-0.175
NW Indiana,"RT @FiveRights: I'm sick of illegal aliens insulting Americans.
Just deport every illegal - as should've been done years ago - and let them ",-0.6785714285714286
Indonesia   ,"RT @btsvotingteam: [ REPLY CHALLENGE ]

Let's aim for 10,000 replies 

Can u make it before 10 minutes?

The faster we can do it, much bett ",-0.275
None,@xLontrax @ProfClayton I'm just rereading my sketch. The titles are the wrong way!!!!!! Hold on   ,-1.0
they/them/he/she,@imtheirwinona I NEVER KNEW HOW BADLY I WANTED #BLONDEFOB UNTIL YOU SAID SOMETHING AHHH,-0.6999999999999998
None,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
"Soweto, South Africa   ",RT @phenetiks: @daahlingnikki @Karnythia And this 5yo old little psycho gave her turn by turn directions for close to 45 minutes. We ended ,-0.04375
PNW,"RT @Ticklemelili: So I m @ the bank waiting in line &amp; the guy in front of me is spitting game to the teller, she s laughing &amp; he s attracti ",-0.4
None,"RT @Iyervval: Dadri : Aqhlaque is killed by gaurakshaks  Beef is provocation? Food choices must be left to individual 

#Kasganj : Chandan ",-0.06666666666666667
"Lisbon, Portugal","RT @ChilledChaos: I swear to god if I die before Game of thrones' final season comes out...I'm going to be so pissed. As it stands now, I j ",-0.2
"Osaka, Japan",RT @Ethan_Booker: when you're about to just absolutely fucking destroy a shithead kid who doesn't respect dinos https://t.co/t2ip9T7t48,-0.2
None,Oops spelt it wrong #Padmaavat https://t.co/KNGeGMjZDe,-0.5
"Port Jefferson Station, NY","RT @adamcbest: Trump's State of the Union address will have a bipartisan tone. Too little too late.

He had a year to work with Democrats, ",-0.24375
"Dublin City, Ireland",RT @AlanFinn16: Nothing worse when you have a day off work and your job keeps ringing yeah come in GO GET LOST Sundays are for lazy days ,-0.325
United States,"RT @YarmolukDan: #Bitcoin and #Ethereum  have a hidden power structure, and it's just been revealed https://t.co/8QiqJwhw1K #BigData #IoT # ",-0.16666666666666666
None,oh god I feel so sick,-0.7142857142857143
"Rio Grande do Sul, Brasil","RT @victoria_grif7: If you write one story, it may be bad; if you write a hundred, you have the odds in your favor.   Edgar Rice Burroughs",-0.6999999999999998
Upper Echelon ,RT @RappersDaiIy: When Blind fury did this I lost it just like Chris brown     https://t.co/YjA5ZmChsJ,-0.5
The chaos of my wandering mind,"@PieAnimeOtaku BUT ""CYBER ARTS"" IS THE DEEVVIIIIL PIE &gt;o&gt;

YOU JUST GOTTA SAY 'FUCK THE MAN IMPROVING THE HOOD! HOW  https://t.co/nYymjCCSTh",-0.5
"Tema, Ghana",RT @iamghlinks: I Can Destroy Ebony s Career When She Leaves My Label   Bullet #iamghlinks https://t.co/cGojoYpJCS https://t.co/3vE3f10U5a,-0.2
None,"RT @richardbolisay: Depression is terrible. A total waste of time (weeks, months, years, decades) steeped in misery that could have been sp ",-0.39999999999999997
She/them|nsfw|masters  ,"RT @back2jeffrey: ""sm doesn't do hiphop""
Okay, mad city is a ballad song
#    _   ",-0.0625
"San Diego, CA",fuck you if a sip of alcohol turns you into an intolerable bitch,-0.4
middle of nowhere,"RT @vantaekim: yoongi: i ate so much food lately, my mom was watching [me] on tv and told me i look like a boiled dumpling

#iHeartAwards # ",-0.04999999999999999
meeks,i miss 2017:-(,-0.75
Michigan ,  I need 60 bad bitches acting like their single..   ,-0.25714285714285706
"Brunei, Darussalam",see this is what happens when ppl glamourise mental health... they create a fucking PIN OUT OF IT. Yall really need  https://t.co/1rgtzl9pnH,-0.16666666666666666
Poland,"RT @sunsmiya: please don t make people feel bad about getting excited over other members.. like it s not even excitement, no one can feel t ",-0.14999999999999994
Guadeloupe | Paris,"RT @ThembaRumbu: Share Everyone, a coworker of mine. Her  little glittery phone case got a small crack in it at work while in her front poc ",-0.21875
None,RT @meatymcsorley: @veganvexation The year is 2050. We just created the ability to speak to animals. A cow asks why you keep impregnating h ,-0.13333333333333333
None,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
South London,RT @MXTracy66: @Karnythia I was hiking alone in the woods with my son who was 7. It was eerie quiet. Out of nowhere he says  The woods dema ,-0.25
a  c d f i r,I RAN OUT OF TIME FOR THE REST OF MY KINGS BECAUSE MY LAPTOP SHUT DOWN AGAIN I HATE LIFE,-0.4777777777777778
Jungkook's heart,"RT @vantaekim: jimin

""my younger cousin is my fan. so my mom told them that if they study hard, she will give them a CD and let them talk ",-0.14583333333333334
vanilla manila ,"RT @taepalette: [TAEKOOK AU!] where Taehyung, a rookie model, and Jungkook, a well-known pop singer, are spotted hanging out together. http ",-0.9375
None,@LouisGaudencio A mess,-0.175
None,"@Medscape Use the small spirometer with the word chest infection 
Cough is a good indicator for something annoying  https://t.co/uof7EjKJv9",-0.1166666666666667
None,@goonerbeau Why such a small crowd?,-0.125
"Royal Tunbridge Wells, England","RT @ObsNewReview:  Why feel ashamed of having a complex brain disease? : @FrenchNicci interviews @WendyPMitchell, diagnosed with early-onse ",-0.3
None,"RT @MarcusRashford: Come a long way since digs bro, congrats on your FA Cup debut @agomes_47    https://t.co/mwx2w3BVyr",-0.05
Johor bahru,RT @nabilanshrddn: All of this for only MYR180  per night omg. My friends and I thought that we went to the wrong place as it looks quite s ,-0.25
Hogwarts,RT @Jiminpicss: the amount of trust hoseok and jimin have in each other to pull off a move like this... https://t.co/fhIlEsbnlr,-0.125
"Melbourne, Victoria",@J_W_96 @gomvfc 8th stint at a club during his career. Not exactly what the terraces want to see in a player.,-0.125
None,"Deontay Wilder will * never* be in a super fight, ever. He s a paper champion who is crude and lacking in elite ski  https://t.co/X1saESQnPq",-0.18333333333333332
withikon,"RT @BOBBYKlMS: ""I notice that if iKON do bad it's on them but if they do well it's on YGE."" https://t.co/YIrgf1AfAP",-0.6999999999999998
None,Cilic the aggressor. Fed loses this serve &amp; we're going to a fifth.,-0.3
arizona,I have to pee so bad and my toilet is broken   ,-0.37777777777777777
In Your pathetic WALLET   ,I don t trust these bitches they might catch me slipping    ,-0.1
"Brewster, Ma","RT @TomthunkitsMind: Ex-FBI special agent:  There is a lot of anger in the FBI (the entire intelligence community, for that matter) over ho ",-0.11428571428571427
GDR 2.0,"RT @rumidizzee: i didn't realize that ""idiot sandwhich"" was from a sketch for a late night tv show i honestly thought that was just a thing ",-0.1666666666666667
None,RT @jintoxicated: Only a few minutes left! Reply with the hashtags below. Keep the tweets coming since Round 1 is ending soon. Teamwork mak ,-0.1
Durban|Linkhills|Molweni ,Why politicize water crisis seriously how low can you get. National and provincial governments must find a way stop  https://t.co/oiMyxFTA9T,-0.16666666666666666
Nigeria,"RT @Turhan3rd: @Karnythia A friend jokingly says of her 4 y/o daughter in the other room: ""Imma wake up to that one tryna kill me in my sle ",-0.125
None,RT @_sirhampton_: No funny shit.. imagine the TL if this was two men doing this to a woman at a volleyball game or some shit.. https://t.co ,-0.23125
                            .,"RT @kidovna: ((Previews)) Shakes fist, I'm finally working on the art book! #vmin https://t.co/i7G2MyDSt9",-0.375
ADI/BPL/PNBE,"RT @girlsvidpost: I'm difficult, but I promise I'm worth it.",-0.1
None,"RT @INDIEWASHERE: it sucks when u have no distinguishable talents, i'm literally a cup half empty because i'm always just half good everyth ",-0.006666666666666665
"Bicester, England","RT @lakatiexo: January has been such a shit month, just want it to be over already",-0.1
bed,"RT @bellsterr: one time the youngest tied a rope around the other's neck and be like

""mari anjing!""

IM FUCKEN DED",-0.15625
None,A round applause for everyone  #TwitterBestFandom #TeamGOT7,-0.2
United Kingdom,"RT @umeed345: @AajKamranKhan Have u talked about this journalist when he was fined one million on a fake story by a court? 
Why dual standa ",-0.5
you.will.knovv,RT @ultsdean: [BREAKING] Jay-Z &amp; Beyonc  adopted a child and named it Jay after Jay-Z   https://t.co/enL1JEpPIE,-0.75
None,"RT @EXOUpdates09: EXO-L Photo Challenge 

Post a photo of your bias / any member wearing pink &amp; tag 5 people to do the same.

@Exolusa @Exo ",-0.05
171217,"RT @jjonghugs: Jonghyun was robbed of his future by a flawed, ignorant mental health care system. He was a victim. He had dreams, aspiratio ",-0.16875
"Apeldoorn, Nederland","RT @rumidizzee: i didn't realize that ""idiot sandwhich"" was from a sketch for a late night tv show i honestly thought that was just a thing ",-0.1666666666666667
"Rochdale, England","Hearing our neighbour constantly saying ""Alexa, play Spotify "" to no avail. When it finally works, fucking Abba sta  https://t.co/BSXJn2z71U",-0.19999999999999998
"Ilford, London","@AfqarH Loooool I tried playing with you lot the other day and it was painful, Eriksen doing shuttle runs up and down the wing uno how peak",-0.32685185185185184
None,RT @brokeangeI: me adding sad songs to a playlist that i can listen to when i m depressed https://t.co/DIsjNtlrma,-0.5
None,"RT @intexolteam: [Q] Name a place/country you want to go to~ 
#TwitterBestFandom #TeamEXO #SoompiAwards @weareoneEXO L-1485",-0.75
"Ikotun, Nigeria","RT @HermaineM: A relationship with no gender roles.
we both hustle,
we both cook,
we both pay and
we both spoil each other  ",-0.125
"Ile-de-France, France","RT @AZEALIAARCHIVED: 15.) CHASING TIME (2014)

From  Broke With Expensive Taste  (2014) 
Directed By Marc Klasfield
Released on November 13 ",-0.5
None,Read about the lead detective of this case. The justice system completely broke down and failed here https://t.co/wCiqSIVSn9,-0.1851851851851852
None,"RT @unrealparkjimin: A small reminder that Namjoon once said that while he needs weeks for a song to be finished, Yoongi can produce a whol ",-0.25
Sydney,@spectatorindex Sad. I thought his name was Allen Key.,-0.25
Obreg n Sonora,"RT @OneAhgaseGot7: About a million tweet in the last hour! 

LESS THAN 30 MINUTES!  

#TeamGOT7 #TwitterBestFandom @GOT7Official https://t. ",-0.10416666666666666
None,RT @HDSailing: This photo wasn't taken last night but it is a photo of David on his birthday a long time ago when he spent his winter's ski ,-0.05000000000000001
"             ,          ","RT @Manoonchai: Fan: May I know secret on how to make delicious spaghetti?
Khun: (You) cannot do like I do. https://t.co/dAnLQAapt4",-0.05000000000000001
None,"RT @FlirtyNotes: The less you give a fuck, the happier you will be.",-0.2833333333333333
DVO x MNL,"RT @VVanGone: I m sorry I was breaking
apart when you met me

I m sorry you tried to hold
a thousand pieces of nothing

I m sorry my eyes w ",-0.5
IE,Does anybody want to link rn? I m bored and went to sleep to early.,-0.2
None,I was definitely sucker into the whole back story anyways now I'm a fan I even made a second twitter account so I w  https://t.co/VENpC6DLeV,-0.024999999999999994
me-mes,"@iDyox @YourAltcoins @CryptoCoinNewz 240 
would have been 350  but I managed to loose them in 2 weeks, just startin  https://t.co/ewS6Jk8XpS",-0.07692307692307693
Stockholm,When you notice Ingvar Kamprad is trending and you fear the worst... damn it. He put Sweden on the map and in your  https://t.co/i04jj5xPn5,-1.0
London,RT @D_T_E_W: @Lamirez_tekkers Lamz trying to start a war again    mate 90% of women will say they independent but got to the toilet when th ,-0.016666666666666666
"DVO, PH","RT @Washimachine: So I feel like Im really maturing when people say I'm getting fatter and I don't get offended  

Don't get me wrong. Nage ",-0.15
None,Tf that shits soft! I'm a vegetarian and I ain't scared of him? Tf does that even mean you want a hard line? Fuckin  https://t.co/k97dLoFxZ2,-0.15972222222222224
People's Republic of China,"four part interview Part three, tough times.: https://t.co/81wsqiByGo via @YouTube",-0.3888888888888889
Los Angeles,Please help me find my lost cat. She is black with a small patch of white fur on her chest. She has been lost since  https://t.co/2kKaLEMCww,-0.13888888888888887
"Nantes, France",RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
None,RT @hqminho: i just noticed that he waved and nodded.... please........ he's so tired and everything but he still thanks us even if he does ,-0.1
Point Place,"RT @INDIEWASHERE: it sucks when u have no distinguishable talents, i'm literally a cup half empty because i'm always just half good everyth ",-0.006666666666666665
#blacklivesmatter,@hoseokheaven fdjbdkskska its 23 degrees rn but we had a big rain so it cooled stuff down,-0.07777777777777779
"Miri, Sarawak","RT @amusingjonghyun: Jonghyun to sugeun!

  hyung talk too much about past things!!! I dont understand~!~!~!~~!!! 

Jonghyun finally talk o ",-0.26666666666666666
None,RT @nabilanshrddn: All of this for only MYR180  per night omg. My friends and I thought that we went to the wrong place as it looks quite s ,-0.25
m d h,@MINlJIDE i d cry for you wtf,-0.5
"Bathinda, India",Mr p Chidambaram says center govt not make job but I am saying pm Modi is not making the jobs please give me answer mr pm modi,-0.1
None,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
              ,RT @Jiminpicss: the amount of trust hoseok and jimin have in each other to pull off a move like this... https://t.co/fhIlEsbnlr,-0.125
nct. exo. rv. day6.,"RT @back2jeffrey: ""sm doesn't do hiphop""
Okay, mad city is a ballad song
#    _   ",-0.0625
None,RT @johnsontingart: This piece was done for an artbook I published together with my friends last year. Was channeling a little bit of Leyen ,-0.09375
"England,  not the EU!",@JawsomeBrody I planned stage version of it was banned by a local authority as 'outdated &amp; demeaning'.,-0.20000000000000004
None,"RT @rumidizzee: i didn't realize that ""idiot sandwhich"" was from a sketch for a late night tv show i honestly thought that was just a thing ",-0.1666666666666667
         ,"The funny thing is that both my friends didn t freak out, as if they were used to me fucking up while driving.  

Y  https://t.co/yY47UQnyUU",-0.175
Hati awak,RT @finah: bitch fuck you https://t.co/VjB0t9aR8Y,-0.4
"Rochester, Kent","RT @StevenEdginton: Corbyn getting away with outright lies on #Marr this morning. When ""a long time ago"" is 2012, and 2012 is before 2009. ",-0.05
None,RT @S14Hx: I won t be surprised if mists next video is in space lool visuals for his new one is mad,-0.09715909090909092
"Southampton, England"," i had a staring contest with the cat... i won  
my little sister                ",-0.1875
Chicago ,RT @showercappin: I'm finna start watermarking my pictures like a lame ass nigga cause niggas don't be giving me my credit. I got these raw ,-0.3653846153846154
Birmingham,"RT @S14Hx: I might as well have a little Nokia brick Cos my phones dry af, them ones where it s so dry u let it die",-0.10694444444444444
"Derby, England","Everyone loves to hate #DracoMalfoy, #HarryPotter's arch nemesis! Did you know @NThardwick was used as his manor in  https://t.co/IkkJW6q4sS",-1.0
@ancientuan [got7],"RT @3rapcha: rt to be in a stray kids gc
- no kboos !!!!!
- don't die 
- selective n small
- mbf/ have dms open

if this flops it never hap ",-0.125
taeyong s angelic smile,RT @neoculted: These ugly ass so called reporters are forgetting that the kpop hallyu started from SM with H.O.T and followed with S.E.S an ,-0.7
merica,"RT @nbcsnl: ""I mean, me?! Will Ferrell on Saturday Night Live?? What??!"" #SNL https://t.co/ChNjLXtH3V",-0.11008522727272728
None,"RT @garylong69: Badge day today, start of my 24th year in the cab. Never in my wildest dreams did I think we d be in such a mess, no unity ",-0.0875
S******d,"RT @ChrisMPaton: MISSING PERSON Claire Paton: I have just spoken to Police again, Claire is believed to be on #Arran. If any accommodation ",-0.2
"Beverly Hills,CA","I would be dreaming, if I wasn't up anxiously anticipating...   listening to Dreaming Of You - Selena",-0.25
a dolphin's digestive system,RT @elonmusk: The rumor that I m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,-0.4
None,"RT @SethAbramson: September 8, 2016: Sessions has a secret meeting with Russian Ambassador Sergey Kislyak in which the two men discuss the ",-0.2
"Abuja et Calabar,Nigeria","RT @BillionTwiTs: The Bible says in the book of Matthew 7:13 ""...for wide is the gate, and broad is the way, that leadeth to hell"" https:// ",-0.018750000000000003
 150803 ,"RT @mbbcarat: Monsta X to Monbebes after the disappointing audience turnout &amp; their car bumping into the pole:

""Monbebes, don't worry! We' ",-0.75
Florida,"RT @mayjeong: I wrote about the externalities of a single drone strike, or what the US military likes to call a precision strike, in easter ",-0.08571428571428572
Chez Kaio,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
"Los Angeles, CA",Im glad I m not drinking or out doing stupid shit  ,-0.16666666666666666
The North,"RT @House_Feminist: I secretly hope that twitter keeps extending the character limit as a social experiment, slowly conditioning our attent ",-0.22222222222222224
"City of London, London","@maggielochner @campbellclaret @UKLabour Here s a mad idea. If a second advisory referendum says Remain, then our e  https://t.co/4iI0OvJLs6",-0.3125
United States,RT @untamableshrews: Who gives a fuck. Are you shaming women into staying silent? Stop peddling this sexist bullshit. Men are allowed to sw ,-0.2
None,RT @bfjckseun: why does this guy reply so late i m so???? i hate men #TeamGOT7 #TwitterBestFandom,-0.55
United States,RT @brycetache: A few people have told me they ve given up on believing we can save America from the GOP. I understand feeling hopeless but ,-0.2
None,RT @AliceAvizandum: the funeral will be preceded by an hour and a half of trying to assemble the coffin and then having a row about it http ,-0.16666666666666666
None,[I ate] Churro ice cream sandwich with black cherry ice cream https://t.co/SmWMrWRYmL https://t.co/FSxDxuZgzk,-0.16666666666666666
     ,RT @lovelilfreak: kibummie curling into a little ball of cuteness   https://t.co/suSk3wGQv5,-0.1875
Germany,RT @LifeWithSelG: Rolling Stone has listed critically acclaimed  Bad Liar  by Selena Gomez as one of the songs robbed of a nomination for   ,-0.3499999999999999
Turn On My Notifications ,RT @thebIackbear: i keep on wondering where did i go wrong,-0.5
920506-921127,"RT @missehunniverse: SEHUN   IS   MORE   THAN   JUST   HIS   ABS   AND   HIS   NICE   BODY  

WTF I AM SO MAD 

L- 1485 #TwitterBestFandom  ",-0.006249999999999978
In the Stars.. ,RT @MXTracy66: @Karnythia I was hiking alone in the woods with my son who was 7. It was eerie quiet. Out of nowhere he says  The woods dema ,-0.25
Paris,RT @sarm0161: Just wait till United and Mourhino benefit from a VAR call. The country will fucking implode.,-0.6
None,RT @moonsmoothie: my idiot brain wouldnt let me do anything else until i finished this https://t.co/r15WoTzXY7,-0.8
the hills,@lloyd_secong Fuck u,-0.4
"England, UK","With Valentine's Day hurtling towards us at a rate of knots, why not try something a little different for the speci  https://t.co/dz5zmr5CnU",-0.09375
Unspoken Rules Season 2,"I just dropped my new single.

It's me.
I'm single.",-0.0021645021645021654
None,"RT @CauseWereGuys: her:  he s probably thinking about other women 

him:  i hit him with a pump shotgun from close range and it only did 7 ",-0.0625
None,RT @sbstryker: Retweet this picture of Oprah with 3 hands or you'll have a decade of bad luck https://t.co/nPMOoe3kQk,-0.6999999999999998
my,"RT @mxsriyatalks: not being able to describe how you re feeling is actually the worst, atleast when you re sad you can say  yeah actually i ",-0.2
None,"RT @jintrified: jk: [laughing] ur so dumb u make dumbo look smart
j: [laughing] ur so stupid merriam webster had to add ur name to the late ",-0.46011904761904754
None,RT @writtenvisuals: shit. maybe i miss you,-0.2
"Seoul, Republic of Korea",RT @TextsBook: I pay attention to the little things.,-0.1875
None,"RT @doamuslims: Military Tourism in Israel - A tourist in one of Israeli ""anti-terror"" military camps: ""I never shot anybody. But I m going ",-0.1
None,"RT @pjmbieber: our voting rate has decreased and the other fandom is currently cathing so please keep voting. 

every retweets and tweets c ",-0.17500000000000002
None,RT @Louxowens: always had a thing for crazy girls,-0.6
"Maia, Portugal",RT @DavidKHarbour: You guys cannot be throwing shade at Javier Bardem.  He s trying to have a serious chat with you and you keep looking ar ,-0.3333333333333333
None,I hate it when my anger turn into tears...,-0.75
Philippines,RT @Erivxln: Sana next time @ASAPOFFICIAL  don t put Loisa or MayMay in a prod kung ang exposure wala man 10 seconds it s really unfair on ,-0.25
"North East, England","RT @MPSHackney: A male, 23, has been charged &amp; remanded to court today for possessing this sinister item. Tried to claim he was an electric ",-0.25
"Chennai, India",The Weirdest And Worst Star Wars Fan Art #fan https://t.co/MTagl8t8r2 -   Grow your followers with https://t.co/fkZznnSTv5,-1.0
fl,"@bxcglx Oh my how to write there?? `laughs;take your hand and write down ""take Clarine on a date when I'm not busy""  https://t.co/mugHiPshy4",-0.1027777777777778
None,"RT @CryptoManiac17: ALL MY ACTIVE GIVEAWAYS!
5000 #XVG &amp; 5000 #TRX 
https://t.co/QnbW1J9Gja

1000 #XRP
https://t.co/x1Qigm4w5A

0.1 #BTC
ht ",-0.16666666666666666
United States,"RT @YarmolukDan: #Bitcoin and #Ethereum  have a hidden power structure, and it's just been revealed https://t.co/8QiqJwhw1K #BigData #IoT # ",-0.16666666666666666
"Las Vegas, NV",RT @ArizonaEnema: @MrsScottBaio Hey look! It's #NicoleEggert and #ScottBaio Must be weird married to a guy who raped a teenager! https://t. ,-0.09375
None,"Listen to NEW WORLD  prod by    (SMALL CIRCLE OF FRIENDS) by    a.k.a. THINK 

https://t.co/r3tif5jMDu",-0.05681818181818182
None,"Ahh! I think I'm dark and tortured for reals, now...",-0.15
None,RT @RickyPDillon: Finally getting a drag makeover from @willam tomorrow,-0.05
170424,sehun is more than just his looks and body learn to respect him as the dancer/rapper/singer he is HE AINT A FUCKING  https://t.co/1URflJtCuz,-0.04999999999999999
        ,i love you so much :( https://t.co/eVlPfhzdBI,-0.01666666666666668
india,"I'm sorry, but a 2 minute disclaimer does nothing if your 2 hours 45 minutes of the movie is spent showing the opposite sentiment.",-0.19999999999999998
Dont worry about it,RT @whotoristrikes: When my friends laughing at the outrageous things I say but I m dead ass..... https://t.co/sM8zZoAyBF,-0.6
Brunei,"RT @sehunownsme: EXO members said the secret to their (unwavering) popularity is that they have a family-like relationship w/ each other, a ",-0.2625
"(-276, 85, 574)","I tried to 
build antvenom
but it is to 
hard for me :(",-0.5208333333333334
United States,"RT @TuckerCarlson: Dem Party has gone insane. Their new position is that it's immoral to restrict any kind of immigration, from any country ",-0.08787878787878789
Singapore,"RT @_diplo_: wow i wonder why a person who has kicked a woman in the face, broken another s leg, and has to pay models to hang out with him ",-0.15000000000000002
Lagos...In ur speakers errday,RT @thefantegod: After all the gender heavy branding of this movie you couldn't call it a madampiece? https://t.co/8w91O1pP7C,-0.2
None,"RT @gabbiejarvis: used to believe the stupidest shit when I was a kid, like a tree would grow in my stomach if I ate apple seeds and I d go ",-0.2
Corrientes/argentina,"RT @reacttothek: [Tribute] Classical Musicians React: Jonghyun 'End of a Day' vs 'She Is': https://t.co/8SfUDsIqXp

Watch when you're ready ",-0.18333333333333335
None,I just can t get my head round that people actually believe that vaccinations will make your child have autism      ,-0.1
im not serena,"me, looking her dead in the league universe/lore but i guess i did",-0.2
None,"Im seriously considering boycotting Liverpool matches until we replace Coutinho, just a waste of time tbh",-0.26666666666666666
Paris,"RT @sairahussain87: FYI ""chain migration"" is not a real term. The actual term, written in the Immigration and Nationality Act, is ""family r ",-0.05
None,RT @wifeofcheonjae: @cherryjinho @syafash_ Other ppl doesn't want Jin to become the mom bc they think it's direspectful so they changed it ,-0.125
None,"RT @LARRAYOX: I saw a video of an dog owner playing dead and his dog tried to save him 

so I tried it https://t.co/6pTSGzAznh",-0.2
"Northampton, England",For all those on #thebigquestions who believe and stated that Israel is an Apartheid state. Here is a Black South A  https://t.co/Ru7NDOhvjM,-0.16666666666666666
