Location,Tweet
a field of daisies ,"RT @parisianysl: imagine thinking Serena Van Der Woodsen, the IT girl of the entire series is boring. The girl whose return to the upper ea ",-0.3333333333333333
   ,"I was falling asleep with this ""short announcement"" #EvoJapan2018 https://t.co/Ixfi8QIF0h",0.0
"De Motte, IN","i guess the new me is dropping half my old friends &amp; just stickin  w gabs &amp; my mans , which i m totally okay w.  https://t.co/3MxhwHPHRe",0.14242424242424243
Belgi ,RT @mamy_sara1d: @niallerdiaries @NiallOfficial I'm voting for #SlowHands by @NiallOfficial for #BestLyrics at #iHeartAwards !,0.0
united states,"RT @House_Feminist: I secretly hope that twitter keeps extending the character limit as a social experiment, slowly conditioning our attent ",-0.22222222222222224
None,RT @akamccartney: he donated $2 million to help build a facility for young people with disabilities in his hometown https://t.co/DtSZtCxoWr,0.1
Di wo fie asem,"RT @annie_vams: Dear lord you gave me this man to love, help me love him the best way.
Heard his voice last night and baby boy sounded so s ",0.5
A step inside your mind,The memo? https://t.co/FMzDmOsMZQ,0.0
ph,"RT @toxicwoozi: will anything ever beat seungcheol s
 pills for cold, meals for hunger, me for you i want to define you as me like this in ",-0.6
"Johnstown, PA","RT @Team_Penske: After leading, @danecameron19 and the 6 car has run into electrical problems. The team had to change the battery, resultin ",0.0
curiouscat: chaethebadboy,"the only legs that matter, still waiting for the thigh choker tho 

https://t.co/mFr9DYziif",0.0
None,RT @SouthPadreTex: Post Malone is a chill ass dude  https://t.co/KMu0SJW7UN,0.0
"Buffalo, NY","@LaaaMisfit @DMTheresa_ lol, it's the quality not the quanity, I said some truthful shit and bothered ALL YOU HOES..goodmorning    ",0.3666666666666667
None,RT @arvindjshah: Never say die and believing in oneself qualities were instilled by Dada @SGanguly99 https://t.co/Whju615JPJ,0.0
None,RT @cloutboyjojo: me in my room saying the stuff i wanted to say to my momma while she was yelling at me https://t.co/vJ5qUaqiNp,0.0
Bighit Entertainment,"RT @vlissful: seven o clock mentioned @BTS_twt

Q: role models or musicians you d like to work with?
younghoon: [ ] my role model for dance ",-0.75
None,"RT @liltinyisabel: me: fuck work. if i m late idc fuck that place lmao 

also me trying to get to work on time: https://t.co/NwVylBmniI",-0.12500000000000003
None,You can tell I'm gone byeeee LMFAOO,0.0
None,"RT @MamamooMSIA: !!! | #TeamMamamoo #TwitterBestFandom 

I am a girl...
but a very introvert one...

However when I am in front of a camera ",0.2
Planet Mars,I really just want to drown myself in my bed rn,0.2
"Novato, California","@MrCat_YT_ Let's see what we can do for you, could you please open a support ticket here? https://t.co/n99mAmkHeM
*AL",0.0
malaysia,RT @hatiprempuan: I m done fighting for your attention,0.0
None,RT @brysontiller: i can and i will. watch me,0.0
"New York, NY","RT @20committee: RE-UP: We need a bipartisan, 9/11 Commission-style inquiry into what went wrong in 2014-16 &amp; made Trump POTUShttps://t.c ",-0.5
London Frankfurt Toulouse Malmo,"""Well informed people from all walks of life, made up the 17.4 million plus who voted for #Brexit.""

You probably d  https://t.co/qtXI3v8XbG",0.0
"Ohio, USA","RT @CandideKun: Well, I still need to clean things up, but #animonthly don't wait for no one. Also, got a chance to preview some post proce ",0.3666666666666667
24 28 N 54 22 E,RT @SarahLerner:  I skied back to the Pole again to take this photo for all those men who commented  Make me a sandwich  on my TEDX Talk. I ,0.0
None,"RT @imusicbuzz: Check out ""Body and Soul,"" a new dance fugue by Spike Middleton USA at   
https://t.co/HskPt9k1BF 
Save it to your Spotify ",0.13636363636363635
IGOT7,"@ahgashield Idk, but everydayy everynighttt feel like a f..........
No no no no 
But everyday everynight, i need th  https://t.co/JCwen9CBQp",-0.2
None,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/jrChrEbFaC #TreCru https://t.co/XGfiszqHJB",0.31250000000000006
Malaysia,"RT @jintellectually: nj: ah, im not supposed to eat a lot before a performance...

jm: you can eat a lot before the performance, hyung!

ji ",0.0
babyboy tae ;;           ,"RT @iHeartRadio: J-Hope is a hair icon, tbh    | @BTS_twt https://t.co/osJWgBN7p7",0.0
Leeds,RT @gracegc11: Why is this THE most accurate thing I ve ever seen    https://t.co/pNCe4pAssm,0.45000000000000007
Middle-earth,Big thanks to Spotify for making them easily accessible! U da best po,0.4171875
World,"NDP leader Jagmeet Singh will get married in Brampton, Ont before flying to Mexico for a private ...  https://t.co/3lNU4vVfPn",0.125
"Idaho, USA",RT @Iapideous: im not saying u broke my heart but that's exactly what i'm saying,0.25
None,RT @belugasolar: EV Sales In Denmark In 2017 Were A Joke   698 Total | CleanTechnica #BelugaSolar https://t.co/rdQ1FxPTVp,0.0
None,"RT @BBCSport: A  150m bid for Eden Hazard?

It's one of today's back page headlines.

Get the latest transfer gossip  
 https://t.co/tGlgti ",0.25
Republic of the Philippines,"RT @thebtsmutuals: rt if u support jung hoseok, follow whoever rts  

reply"" ifb with #TwitterBestFandom #TeamBTS ""   &amp; u will get a shouto ",0.0
Turn on our notifications ,RT @hypestreets: A$AP Rocky &amp; Ski Mask freestyle..   https://t.co/TidC3hs9rJ,0.0
USA! USA! USA!,"RT @ThinBlueLR: Absolutely nothing about Barack Obama's time in office was beneficial to America. 
In fact, his 8 years was the most destru ",0.35
None,"RT @snowberrytae: ""Members are family bc they're always by my side, they always help me, cheer me on &amp; look towards me. They know every det ",0.0
#8yearswithfx,RT @pinktaperas: Lunstal's friendship is so underestimated: a thread https://t.co/xukviv0S3r,0.0
nyc,"RT @andylassner: A reminder that there are NOT very fine people on both sides. 

#HolocaustMemorialDay",-0.16025641025641024
france bretagne2014,@KKokorinko @KibetzVal @ArcoIrisNqn @Didinette02 @mmjoymm_StP @RobVan_Doesburg @totorocat43 @2mille16 @Verywimp  https://t.co/FwXU8ZBys4,0.0
None,A word of encouragement during a failure is worth more than an hour of praise after success.,0.1958333333333333
riyadh saudiarabia,RT @FarooqHKhan: @Shahidmasooddr Dr Shahid Masood bhai. Keep yr ground and remain steadfast. The mafia incl some in media will back off. Th ,0.2
None,RT @Lmao: imma start charging people for hurting my feelings $3 a minute,0.6
Thailand,I'm at Starbucks in Samphanthawong https://t.co/DEHdv5H6H7,0.0
"Chandigarh, Delhi & Manipur","RT @pbhushan1: How a serial offender Madhu Kishwar has used the disclaimer ""If it's true"" to spread every kind of vile bigoted, hateful &amp; c ",0.475
You   ALWAYS.,""" why did u come here? ""
"" to find   """,0.0
"Le Blanc-Mesnil, France",RT @FortniteFunny: I d break my controller https://t.co/4Czli4yaHz,0.0
"West Midlands, England",I want a thrilling coaster filled 2018 and am in to #win a family annual pass to @THORPEPARK with @chelseamamma blog https://t.co/QcQP97jCvg,0.4833333333333334
"Fremont, CA",RT @DigsterPlaylist: Worth a shot     @MartinGarrix https://t.co/VjikuZR8MG,0.3
"London, England","RT @bbuk:    The #CBB  boys have never been so scared   

https://t.co/IQ6IK82QVX",0.0
"West Coast ~ (San Diego, CA)",@WorldAnimalNews @realDonaldTrump I hope this is true!!  ,0.546875
i bless the rains down in africa,@pom0doro lovi im literally screaming right now. i cant believe you did thisand i cant believe you made me read this,0.2857142857142857
coco,"RT @peakylouis: they're so big and so beautiful, i'm sure that jay's protecting these beauties   https://t.co/WMO1HJyTBK",0.45
Philippines/Everywhere,"HOW TO JOIN #NWORLD - Write up 
https://t.co/WbmVLwK1lj #Nlighten #Discount #Reseller #luxury #MLM",0.0
"Fremont, CA",RT @MistyPoseyMusic: @thgourmetshop @drunkensomm @ridethetidesurf @JeremyPalmer7 @jbboats @BarbadosTravel @Barococo_DD @WhatsOnBarbados @St ,0.0
Turceni,"Am apreciat un videoclip pe @YouTube, https://t.co/4v4e1Fg2HB Taywa - Bakemono (Ft. Stonestreet) [Official Music Video]",0.0
Pune,RT @madhukishwar: Will the heart of @AzmiShabana bleed for this young man as it did for terrorist Sohrabuddin? https://t.co/5gMjtFpNHE,0.1
"Houston, TX",RT @TropicalLes: Black people be violating when they describing people.        They Be Like  You know Joshua? Tall dirty nigga that stay we ,-0.3833333333333333
"Fremont, CA","RT @RealWineGuru: #Wine #Burgundy: a little st.vincent action: No rain! As Matt in a previous comment noted, very well organised, and it se ",-0.007291666666666662
None,"RT @2m39_: ""I'm still sleepy, hyung...""
""Come on, wake up. Time for breakfast...""

   #   https://t.co/Qqv4FQa4I5",0.0
      ,RT @WinEdwards: Her reaction to my tattoo was so cute   (she was so concerned that I wasn t wearing a jacket I love my literal mother) http ,0.5
Republic of the Philippines,"RT @CNCOFilipinas: That unexpected hug of Joel to Zabdaddy. I love them so much.

#CNCO #BestBoyBand #iHeartAwards https://t.co/Ba1nb6UzRq",0.26666666666666666
None,"RT @nfcinereporter: Living in a refugee camp in winter ...
#syrianchildren https://t.co/RxSvNNgGdO",0.0
San Andres Tuxtla;Veracruz,"Don't be like a prey
#TwitterBestFandom    #SoompiAwards #TeamBTS 
@BTS_twt https://t.co/MavOoVS9uW",0.0
None,RT @REALtrumpbureau: #SOROS IS THE REASON THE #GUILLOTINE WAS INVENTED AND SHOULD REACTIVATED AND USED ON HIM ! I CANNOT BELIEVE THIS #BAS_ ,0.0
"Yorkshire, England.","RT @TheChallengeCup: STOP THE GAME!   THERE'S A DOG ON THE PITCH  

Loved this in yesterday's @BBCSport #ChallengeCup game   https://t.co/U ",-0.0666666666666667
@BTS_twt ,"RT @yoonminet: what a beautiful sight 

#TwitterBestFandom #TeamBTS
@BTS_twt https://t.co/CVe3gHMOzw",0.85
Jikook's ship,"RT @btsvotingteam: [ REPLY CHALLENGE ]

ARMYs fastest records:
        In just:
3 minutes we reached 1,000 replies
4 minutes we reached 2,0 ",-0.125
"England, United Kingdom",RT @sammystroodle: so I watched a Jenna Marbles video and this happened #bnha https://t.co/x3hXywlGHO,0.0
None,RT @cloutboyjojo: i thought this was Lil Uzi and Will Ferell https://t.co/cqTDFNvax9,0.0
"Somerset, Kentucky","RT @_cloudofclouds_: The integration stems from a strategic partnership that the two companies inked last November.

https://t.co/2f6vzEUTXn",0.0
Venus,I have a theory that most people have one (romantic) soul mate but some people are meant to have more than one beca  https://t.co/9NPw1IZlsr,0.3333333333333333
None,I just want to be part of GOT7 s world GOT7 #TeamGOT7 #TwitterBestFandom,0.0
MIA,RT @vinnycrack: Is that Ed Sheeran? https://t.co/ZV8oMkLqlt,0.0
"Napa, CA",I can never sleep now!!     ,0.0
(   ) @_dawn6   170607 ari  ,RT @ilovehoseoks: no one asked but here s a loop of hoseok munching and looking all cute for my own needs https://t.co/qSSmYaNanB,0.55
"Point Pleasant, WV","RT @sassygayrepub: ""No, I wouldn't say I'm a feminist. I mean, I think that would be, maybe, going too far. I'm for women, I'm for men, I m ",-0.10625
KIM JIWON'S GLORIOUS ARMPITS,"one of the best #bobdong moments to ever exist, I still cry https://t.co/oc3ud8lRh7",1.0
None,RT @jikookheartt: i love jungkook s mischievous smile and jimin s surprised face after jungkook places the mic between jimin s thighs (?) h ,0.3
None,@K_G_Spearpoint @StevenShorrock @NHSwhistleblowr @doctorcaldwell @sarasiobhan @marktaylor18 @DrJimboNHS  https://t.co/YZ1kXHkz49,0.0
South Africa,"RT @Ettin64: Good on Elon Musk for achieving his dream of making flamethrowers. Naming one ""Union Buster"" seems odd but I guess it's his mo ",0.26666666666666666
None,@RVLVT_BJH Worried about me? I m flattered  ,0.0
discord,I liked a @YouTube video https://t.co/hCWX6EK7Vw RAGING ON PROP HUNT (COD WW2) #RedGrind,0.6
None,"It looks like I finally overcome my self where I usually gaming 24/7 like a fucking retard. Nope, not anymore",-0.3833333333333333
At A Bonfire,@chasebarnes_ honestly some of the best sleep i ve gotten was in my truck!,0.8
None,RT @onherperiod: I SWEAR IF YOU'RE HAVING A BAD DAY PLEASE WATCH THIS I WAS LAUGHING SO HARD I STARTED CRYING https://t.co/GjtErTZ6ER,-0.39722222222222214
"Tampa, FL","RT @pookleblinky: The average US rent is $1234/month.

For rent to cost less than a quarter of income, as suggested, you'd need to make $49 ",-0.15833333333333333
None,RT @KanyeGoat: everyone has a chapter they dont read out loud,0.1
None,"@JackyHolyoake @NoToMisogyny This is a great read, thank you.",0.8
"Paarl, South Africa","RT @PushieWatson: Only look back to appreciate how far you ve come. God has been good to you! He kept you, preserved you, delivered you. Yo ",0.24375
United Kingdom,RT @MrMidLifeCrysis: #Giveaway time!!!!! A chance to win #MonsterHunterWorld on #Xbox Just RT and Follow. Ends 1/28/2018 @ 5pm PST https:// ,0.8
+62,RT @maran1025: #HELLOINNERCIRCLE Healing Variety Show In Mother Nature   Charming Tasmania travel log starring #WINNER #KIMJINWOO continues ,0.7
"Ooty, India",RT @sagarcasm: Typical CSK - whether it's a match or bidding. Start slow and end with a bang. #IPLAuction,-0.23333333333333334
"Monroe, LA  ",RT @Wavymafia: I stay in my lane I don t fw these people.,0.0
La La Land ,RT @CurlyHeadJackyy: Black twitter if we hear anything negative about black panther https://t.co/HhTmFSSUAv,-0.2111111111111111
"Quezon City, National Capital ","GET FREE 500 Speedcoins #Cryptocurrency (like #Bitcoin #Monero). If you never used Bitcoin, start with #Speedcoin https://t.co/KryuIkOEKz",0.4
"sri ganganagar, rajsthan ","RT @shitijsrivastav: Just bcoz ""Saraswati puja"" was held in campus, in lieu of that students attending a seminar in Kerala s Cochin Univers ",0.0
"Woodville, FL","For some reason, these weren't posting. I think I've fixed it, though.",0.1
Temerant,RT @VViiNNG: i always wonder if the employees at the greenhouse i buy from recognize me https://t.co/LBeCeS6DGb,0.0
None,RT @SentinelStaffs: .@PaulWilliams207 says instilling a love of reading in children from a young age can help address the city s social mob ,0.2111111111111111
Virginia,I just added this to my closet on Poshmark: COLLEZIO POCKET WATCH TRADE CENTER TWIN TO. https://t.co/l7ULLsfXDb via  https://t.co/4a46ZKkOo6,-0.1
cie stalker ,lqofseulgi i love you too,0.5
United States,RT @Marc_DAmico: This amazes me more and more every time I watch it... https://t.co/daoH0v3idl,0.5
"  ,,     ","RT @xunhuas: Article mentions tht EXO members chose their leader, Suho as the most unchanging member frm debut till nw &amp; expressed their co ",0.5
None,RT @miniminter: EVERYONE IS ANGRY!: https://t.co/3F4EmwwkDy via @YouTube,-0.625
"Queens, NY",RT @justineclitty: Get urself a bimbo #sissy #tranny #mtf #shemale https://t.co/dfrm1JNYZC,0.0
Russia,RT @BachchanFC_: T 32 - VIDEO !! Here s a bit of the action from the inauguration of  Dilip De s show.. @SrBachchan    https://t.co/R4gjkix ,0.1
146 - h   243 - n | s a h r,@jonghyoonmin it s a beautiful feeling,0.85
None,@Pilasutm @ceredigionman Nice i have been stacking for three weeks already and haven t seen any onions how long do I have to wait to start,0.27499999999999997
"Portland, Oregon","@delaneykingrox (Verily do I employ requisite verbiage like unto that used in mine immediate environs, thereby main  https://t.co/Jo4rEFwv9U",0.16666666666666666
None,RT @FemaleTexts: i literally can t wait for that time of year when its finally warm enough to wear shorts out and ur almost done with schoo ,0.3
"Victoria Island, Nigeria","RT @JajaPhD: For the avoidance of doubt, I demanded for a retraction and an apology. You may change your handle but you won t be served on ",0.0
"Lyon, France",RT @softart_: I need sleep sex and attention from you &amp; only you,0.0
Spokane Washington,RT @KorinaEliza: If the guys perform turn I.T off I think it d be so cool if we all put our phones away and enjoyed the song,0.425
United Kingdom,RT @HairlineGod: Nigga i almost...boy don t play like this just say Happy Birthday next time....gotdamn! https://t.co/x8c62lFDu6,0.4
  ,"RT @jeonggukupdates: Thank you for being a singer and letting us hear your voice, Jungkook-ah. Listening to your singing is definitely my f ",0.0
India,RT @sugafull27: related to the stage so i memorized the whole answer but Ellen didn't ask. But the translator hyung for sure said 'this has ,0.2333333333333333
cby   | multifandom | they,RT @httpsjoshler: the fact awsten has dozens of unreleased demos no one could possibly ever hear makes me feel a type of way,0.0
None,I wanna be as cool as GOT7 GOT7 #TeamGOT7 #TwitterBestFandom,0.35
Woodland California,RT @Yooamelie: I m trying to go on a cute date,0.5
CA,@__flowerface Dude this happens to me often. I try yelling to wake myself up but I can t lol,0.8
None,@iPakistaniLAD Lmao he s a cutie    ,0.6
she/they,@gentlemushroom nah switzerland doesn t do erasmus lol but my uni offers lectorships for english students to teach  https://t.co/XSoSHqAx8Z,0.3
"Portsmouth, England","RT @JBwol: Welcome to HRMC online.

Please enter you login

Now enter your Gateway ID

Password please

Now User ID

Government ID please ",0.8
"Bihar, India",RT @HISTORYTV18: A tribe in #Meghalaya have created a bridge that breathes! See their breathtaking bridge now! #OMGIndia #OMGFacts #Amazing ,0.8
"Hyderabad, Andhra Pradesh",RT @gauravcsawant: ''Shoot me too. I sing Vande Mataram. I say Bharat Mata Ki Jai.I say Hindustan Zindabad. My son  https://t.co/5ntKJgQfpW,0.0
None,i wasn t planning on being productive today but school is giving me no choice,0.0
Tamilnadu,RT @cricketaakash: RCB has made a super comeback. MI struck gold with Cutting and Lewis. CSK struggling. KKR in a mess. KXIP neither here n ,-0.14722222222222223
scotland,"RT @PeterSweden7: I think I might have just seen the most sickening thing yet from Sweden.

A 12 year old girl in Sweden was sent away to I ",-0.10000000000000002
ucr,"RT @Jordan_Garzaa: I have a ""why am I like this"" moment at least four times a day.",-0.3
None,RT @kikinsaad: I m sorry I didn t turn out the way you wanted me to be. I m sorry that I m a disappointment to you.,-0.5333333333333333
None,"RT @jhopeisjdope: @vlissful @BTS_twt I'm loving their height difference. So cute   

#iHeartAwards #BTSARMY #BestFanArmy @BTS_twt",0.55
None,I added a video to a @YouTube playlist https://t.co/PVjZppkQNq Lightening Helmet Review Amazing with Right left Indicator,0.29523809523809524
None,"RT @shenoy70: What is being offered as defence against #ChandanGupta is, there are Muslim areas in India and nobody else should go there sh ",0.0
"Lagos, Nigeria","RT @nondumisoseni: Easy gain 1000+ followers fast!!
I follow everyone that retweet or like.

  Retweet
  Follow everyone
  Follow back

#Tr ",0.24861111111111112
Reich,Bouta jog a bit. Cardio n shit https://t.co/WOdNrtAs9Y,-0.2
"South Hayling, England",RT @jayr1972: We are not about promotion. This year. Or next. Please buy season tickets. And lottery tickets. https://t.co/OBGRG3w4jY,0.0
None,@aelfblockchain aelf comprises of a highly competent multi-chain level processing structure with a cross-chain comm  https://t.co/or5RSNSoyv,0.5
avi by @ghouldaalemanha,"the black clashes with the rest of the bag but i fuckin love those buttons
i'm still probs gonna end up replacing t  https://t.co/rfuTn2R6ix",0.16666666666666669
None,RT @trimboli_carmen: I adore this Human    His #Humble #humanitarian #animallover #bestactor #LovingKindness #FamilyMan #compassion #Inspir ,-0.1
None,"RT @Exolusa: {VIDEO} 180128 - EXO at E yXiOn in Saitama D2 - CHANYEOL &amp; XIUMIN Focus 
Cr. _love_for_D

#TeamEXO #TwitterBestFandom #SoompiA ",-0.75
Jas,"RT @CauseWereGuys: her:  he s probably thinking about other women 

him:  i hit him with a pump shotgun from close range and it only did 7 ",-0.0625
"Chico, CA",RT @Khanoisseur: The holocaust didn t start with gas chambers. It started with detentions and raids and breaking families apart - all under ,0.0
None,"@henrytelluride @GoRamsGo @paintbranch1398 @realDonaldTrump The majority of Americans didn't vote at all, are you s  https://t.co/MUyU4Lr7pE",0.0
None,"RT @kadishack11: Real talk I ve failed 5 classes at CMU, gained 30 pounds freshman year, lost 45 pounds sophomore/junior year, lost friends ",-0.15
None,"RT @imalraz: Me to myself: 
Marriage is a scam, I don t think marriage is for me, I think I m better off alone.

Me after looking at Yuna s ",0.5
santa clara,RT @gauravcsawant: ''Shoot me too. I sing Vande Mataram. I say Bharat Mata Ki Jai.I say Hindustan Zindabad. My son  https://t.co/GL0eC1YglK,0.0
"iPhone: 52.087284,5.121242",RT @JasperSonnevelt: I think I'm seeing a tendency in the #Scrum Community to ignore the fact that items in progress may actually change pr ,0.0
"Lisbon, Portugal","RT @aelfblockchain: wherever there is the Internet, we can always work together.(Yeah, we are still in Tokyo and having a video conferencin ",0.0
"New Jersey, USA","RT @norasuko_: Cyber Idol Nozomi from Love Live. My part on a trade with the awesome @moistchichi. :)
#cutiesaturday https://t.co/M5fgGxg3en",0.5340909090909091
ivory coast / south africa. ,RT @astoldbygwen: @DeiziBanks @oneofajillian @phenetiks @Karnythia @daahlingnikki This https://t.co/UEBrVO8P4r and this https://t.co/pzdqx7 ,0.0
None,"@Robert_J_Irwin @PoetTaxiDriver @LibDems 1
I defer to your superior knowledge of your manifesto - mine is almost ze  https://t.co/2WPnkFilHM",0.7
None,"RT @TommySobieski: ""you look mean""
""you look tired""
""you look mad""

or maybe I look like I'm minding my business",-0.4458333333333333
"South West, England",RT @HealthFdn: Interested in quality of the NHS and social care? Enjoy using analysis to understand complex and pressing #policy issues? Wa ,0.09583333333333334
USA ,"RT @Bella623: 2018 Valentine #Giveaway is live!
Over 60 prizes &amp; chances to win with a grand prize of $100 Paypal C  https://t.co/9jreHPq1IZ",0.49015151515151517
"Daegu, Republic of Korea","RT @sugafull27: so i looked back thinking 'how did i work on music before?' and Bang PD nim said this. Sitting in a small studio, he said, ",-0.125
666,"RT @ThembaRumbu: Share Everyone, a coworker of mine. Her  little glittery phone case got a small crack in it at work while in her front poc ",-0.21875
"Holme, England",So exited to be part of this! https://t.co/yU7rQ6awvN,0.0
"Paris, France","RT @ESPNFC: Jose Mourinho on Alexis Sanchez: ""Cheap, wasn't he? A free transfer, that's good!"" https://t.co/bnKsHCjQvT #MUFC https://t.co/o ",0.5583333333333333
None,When you slap me in the Tony hawk game :/ @Courtneynnx https://t.co/lCIAu5vyNs,-0.325
sc: sammyluv13,RT @StaxWavy: It sucks losing a connection with someone you really thought was it lol like damn I thought you was the one..,0.23333333333333336
"St Helens, Larapuna, Tasmania","RT @airstripone_: @wnhynd @ProfSteveKeen @LennaLeprena @ClimateGuardia @TaxJusticeNet And I thought it only needed lawyers, accountants, ec ",0.0
Nawfff,"RT @metroadlib: i did NOT know how soul-crushing leaving your house to go to work would be.
my parents were always dressed when i came down ",-0.15555555555555559
None,happy anniversary of this tweet @carolinaravassa luv u   https://t.co/qY7967f8jh,0.8
 Quezon City  ,"RT @Anavllt: i may be weak, but im strong with God",0.029166666666666646
"Nairobi, kenya","RT @cyncarly_: But for a man to make a woman so insecure till she harasses anyone that is introduced to her, is so bad and sad",-0.5666666666666665
Nigeria ,"RT @dhe_Mechanic: Lol, imagine a white person tweet something like such about blacks, lol, just imagine. https://t.co/bzGQoLGFgp",0.4
Canada,"  an interesting mystery with a clever, satisfying conclusion   https://t.co/mGvbhMYotU #mysteryseries",0.38888888888888884
taehyungs hairline,RT @nnutaella: OMYFCKING GOOOD HAHAHAHAAH I LOVE AO3 YEONTAN IS ALREADY A CHARACTER ALAKSNDBD IM LAUGHING SO HARD https://t.co/PmVx9JB1jq,0.10416666666666666
sm town ,"1/27

ji: hyung, u looked so manly when u put hand in your pocket just now :) *pat kyungsoo's bald head*
  https://t.co/rNO1ZFfkWE",0.5
None,"RT @dietoday_: someone: hey how ya doing?

me: well honestly i ve been depressed for most of my life, so i m a little behind on personality ",0.12812500000000002
None,"@SeanHKessler @red_langford @WendyMesleyCBC @jordanbpeterson SK, she's not interviewing a @Laurier communications prof.",0.0
Europe,"RT @dontbrexitfixit: Voting for Brexit is one thing, I understand there was a general lack of information plus a great deal of lies, misinf ",0.42500000000000004
"Melbourne, Australia",@jrgibson1 I rarely watch Australian FTA cause I pay for Hulu with Live TV and just watch American broadcast and ca  https://t.co/Qwek8zu3lH,0.10909090909090909
jetka  ,"RT @mochiddeoki: like/rt to be in a BTS OT7 gc 

- mutuals/non-mutuals 
- soft/hard/inbetween 
- no solo stans 
- no snakes  
- be chill/re ",0.0
Ah South Africa Mi Seh,RT @G_Rackzworld: RT if u Thought Mbaliyezwe Ndlela was verified the first time you saw this      https://t.co/kaCIpJATIm,0.25
Siargao Island,"I REALLY HATE IT WHEN I STAND NEXT TO A COUPLE WHO CAN'T KEEP THEIR HANDS OFF EACH OTHER. FOK, STOP RUBBING THAT I'M SINGLE IN MY FACE    ",-0.24910714285714286
England,"RT @TobyBaxendale: When you reach 100 years old in Barbados, you get a stamp in your honour. Lovely. https://t.co/bGvJ8o9Pir",0.3
Hidden Leaf Vilage,"RT @RaineyOvalle: It's time.

R E S U R G E N C E. 

OUT NOW.

https://t.co/2bnu52MsRG
https://t.co/oYFHScTsJH",0.0
"Defeated, Tennessee, U.S.","""I'm gonna make stuff again all day tomorrow.""
-keeps going back to sleep all day-

ye ok self",0.25
Makati CBD 1226,"RT @cnni: A jawbone discovered in Israel suggests modern humans migrated from Africa at least 50,000 years earlier than previously thought ",-0.06666666666666665
None,"RT @Loki_Bucky263: i tried to copy a #StarWars #LukeSkywalker scene, with my #Bucky &amp; my #R2D2 figure, Im sorry it dont look realy good  
@ ",0.09999999999999998
UIW  20,They took off in a car and I m pretty sure they left tire marks on the ground by the way they sped off,0.25
South Africa,"RT @BlackoakDesign: I am Bongani,furniture designer and manufacturer, Please RT for awareness.Thank you.
Dear future/furniture/factory inve ",0.0
None,"RT @jinjuseyo: ""Their personalities have changed but their eldest hyung Jin's personality hasn't changed at all. He is a very, very sensibl ",0.26
None,"RT @Scripture_Truth: Teach them to do everything I have commanded you. ""And remember that I am always with you until the end of time."" -Mat ",0.0
Cameroon ,RT @tirolith: You are never too old to set another goal or to dream a new dream. - C.S. Lewis https://t.co/9rXWQuJ68b #wealthy #wellness #w ,0.24545454545454545
None,"i m excited like a mf, really get to get out the states",0.2875
None,RT @meaganmday: A month later I got a package from Ukraine containing only a contraband Cuban cancer drug made from blue scorpion venom. Th ,0.0
Central City,RT @Kiwiuh: i love my people man     https://t.co/WYf59JpRpX,0.5
None,RT @teztikelz: Are the straights okay https://t.co/kcjWulmSxy,0.5
None,Man. I should be watching this https://t.co/mzuSKEUiSH,0.0
Tanzania,RT @TFerrelljJr3: Situational awareness. @VAeducatorRJW @donrobertson20 https://t.co/rYH5WN6iXS,0.0
None,"Have a look https://t.co/jnUnUdhIb6 10 Once we believe in ourselves, we can risk curiosity temp #videotutorials",0.0
None,"RT @byunificial: Suho: Kai-ssi, did you do your turns well today?
Kai: I think that we performed well for today's Saitama con. Other than m ",-0.125
"Bengaluru, Karnataka","RT @DimpleAtra: People giving reasons for the cold blooded murder of a Hindu kid for chanting a slogan hailing his motherland, are not just ",-0.6
Agartala,"RT @dharmbjp: .@BJP4Tripura will investigate all cases of corruptions, murders, rape and other crime after @BJP4India forms govt in Tripura ",-0.125
None,When can i move out im sick of this,-0.7142857142857143
None,RT @rulerofwind_sh: It so cute how sehun watches his baekhyun hyung with a smile on his face    #SoompiAwards  #TwitterBestFandom  #TeamEXO ,0.4
Republic of the Philippines,RT @VogueRunway: Take a look inside the @BTS_twt party bus and their perfect wardrobes. https://t.co/K8TpF9crZv https://t.co/swbGFEtDXK,1.0
None,"No such thing as JUST a small award

@BTS_twt  #TwitterBestFandom  #TeamBTS",-0.125
        s   ,@strayskid not that i know of :(((,-0.75
Bangladesh,@narendramodi 1) 16 mena saridin opwas ikea or Maa Kali ki puja die or maa se mangata ki aapko ak powerful PM banai  https://t.co/ktvi9ZMAW7,0.3
"Balayan,Batangas",RT @xenylic: 7 billion people will experience this day in a different way.,0.0
None,RT @GraysonDolan: You guys know me well and I ve seen that some of you have sensed that something was up so I just wanted to fill you guys ,0.0
None,"RT @larryelder: ""The swelling population of illegal immigrants &amp; their kids is costing U.S. taxpayers $135 bil a yr, the highest ever, driv ",-0.5
Adin's property,@WOOUZI17 Thank u !,0.0
None,@KillBee808 Just got I'm ina house bro,0.0
None,RT @KardashianReact: I CRY EVERY TIME https://t.co/OC7JSXVDR7,0.0
Port Harcourt || UYO || Lagos -- Nigeria ,@dapomubarak @Aladedesope I believe a men's movement needs to spring up just to tackle false accusations both the o  https://t.co/SqJvB705Gt,-0.4000000000000001
"Pali, India","RT @Ram_choudhary01: @AdnanSamiLive #IPLAuction
#Bollywood_    _   
We should boycott the theories propounded by the media and stop attachi ",0.0
